kind,value,entity,reason,added_by,added_at,source_url
domain,pwc.com,PwC,Named donor in the $1000-4999 band AND an SFU warm relationship (PwC Office Tour). Killing costs more than it protects,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/our-supporters/
domain,wwf.ca,WWF Canada,Named-donor band only - not a challenge/accelerator/logo partner,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/our-supporters/
domain,scotiabank.com,Scotiabank,LAPSED. In SFU's 2023 record as the Scotiabank Climate Action Challenge but not among the four 2025-26 Impact Challenges. Human decision - see the open lapsed-national-partners decision,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/host-competitions/impact-challenges/
domain,cwbank.com,Canadian Western Bank,LAPSED. 2025 CWB Indigenous Inclusion Accelerator replaced by National Bank in 2026,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/programs/project-accelerators/
domain,flyporter.com,Porter Airlines,Listed in the evidence base as offering travel discounts. The supporters-page In-Kind heading rendered empty in extraction - UNVERIFIED contents,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/our-supporters/
name,varshney family foundation,Varshney Family Foundation,Its domain is shared with a current Enactus SFU partner. Name-only flag,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/our-supporters/
name,career essentials,Career Essentials Inc.,Named-donor band. No verified domain - not asserted,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/our-supporters/
name,everard corporation,Everard Corporation,Named-donor band. No verified domain - not asserted,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/our-supporters/
name,the hart family foundation,The Hart Family Foundation,Named-donor band. No verified domain - not asserted,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/our-supporters/
name,kelwhit enterprises,Kelwhit Enterprises,Named-donor band. No verified domain - not asserted,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/our-supporters/
name,the midloch foundation,The Midloch Foundation,Named-donor band. No verified domain - not asserted,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/our-supporters/
name,thomas foundation,Thomas Foundation,Named-donor band. No verified domain - not asserted,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/our-supporters/
name,cottrell family fund,Cottrell Family Fund,Named-donor band. No verified domain - not asserted,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/our-supporters/
name,roms international,ROMS International,Named-donor band. No verified domain - not asserted,enactus-disqualifiers/report.md 7.2,2026-08-06,https://enactus.ca/our-supporters/
